qubits,gate,gate_error,error_date,gate_length,length_date,name
[0],id,3.114723524427886e-05,2023-12-26T10:31+08:00,133.66969343874786,2023-12-26T10:31+08:00,id0
[1],id,3.364511995365401e-05,2023-12-26T10:31+08:00,139.361175637884,2023-12-26T10:31+08:00,id1
[2],id,2.787388784358989e-05,2023-12-26T10:31+08:00,134.3412593385781,2023-12-26T10:31+08:00,id2
[3],id,3.128704909381906e-05,2023-12-26T10:31+08:00,153.12968023242942,2023-12-26T10:31+08:00,id3
[4],id,2.514847811696274e-05,2023-12-26T10:31+08:00,140.11039863985187,2023-12-26T10:31+08:00,id4
[5],id,3.22173258097141e-05,2023-12-26T10:31+08:00,146.82195495134175,2023-12-26T10:31+08:00,id5
[6],id,2.878159203297338e-05,2023-12-26T10:31+08:00,160.5440200194531,2023-12-26T10:31+08:00,id6
[7],id,2.8855994134047243e-05,2023-12-26T10:31+08:00,144.95178639633596,2023-12-26T10:31+08:00,id7
[8],id,3.070053044731731e-05,2023-12-26T10:31+08:00,129.13639673420897,2023-12-26T10:31+08:00,id8
[9],id,2.5481316862578617e-05,2023-12-26T10:31+08:00,147.4385662551938,2023-12-26T10:31+08:00,id9
[10],id,3.551974537551434e-05,2023-12-26T10:31+08:00,159.39836787988628,2023-12-26T10:31+08:00,id10
[11],id,2.347700795768533e-05,2023-12-26T10:31+08:00,148.7357481603609,2023-12-26T10:31+08:00,id11
[12],id,2.9210533550988482e-05,2023-12-26T10:31+08:00,150.13519713344297,2023-12-26T10:31+08:00,id12
[13],id,3.2397708565971286e-05,2023-12-26T10:31+08:00,150.86788325831094,2023-12-26T10:31+08:00,id13
[14],id,3.0259985206010695e-05,2023-12-26T10:31+08:00,147.06503766575878,2023-12-26T10:31+08:00,id14
[15],id,3.576172421508891e-05,2023-12-26T10:31+08:00,163.62384944800291,2023-12-26T10:31+08:00,id15
[16],id,3.070638092413652e-05,2023-12-26T10:31+08:00,155.26067716665156,2023-12-26T10:31+08:00,id16
[17],id,2.6540915288602028e-05,2023-12-26T10:31+08:00,146.59001930470677,2023-12-26T10:31+08:00,id17
[18],id,3.098877350905029e-05,2023-12-26T10:31+08:00,139.28135649579124,2023-12-26T10:31+08:00,id18
[19],id,3.0540731690378685e-05,2023-12-26T10:31+08:00,131.04904896630748,2023-12-26T10:31+08:00,id19
[20],id,2.858800633322803e-05,2023-12-26T10:31+08:00,155.39744519171842,2023-12-26T10:31+08:00,id20
[21],id,2.689944372260706e-05,2023-12-26T10:31+08:00,133.66341058188533,2023-12-26T10:31+08:00,id21
[22],id,3.0105319143193816e-05,2023-12-26T10:31+08:00,152.58848077931412,2023-12-26T10:31+08:00,id22
[23],id,3.309445930141444e-05,2023-12-26T10:31+08:00,146.99957749732027,2023-12-26T10:31+08:00,id23
[24],id,3.468463486719675e-05,2023-12-26T10:31+08:00,171.3218633720603,2023-12-26T10:31+08:00,id24
[25],id,3.1601971590319664e-05,2023-12-26T10:31+08:00,146.32662646308518,2023-12-26T10:31+08:00,id25
[26],id,3.1508111287026764e-05,2023-12-26T10:31+08:00,140.5473199227751,2023-12-26T10:31+08:00,id26
[27],id,2.8827883309487447e-05,2023-12-26T10:31+08:00,145.34563168308665,2023-12-26T10:31+08:00,id27
[28],id,2.8528334422267848e-05,2023-12-26T10:31+08:00,137.33310413685746,2023-12-26T10:31+08:00,id28
[29],id,3.304013024851114e-05,2023-12-26T10:31+08:00,158.37366847602794,2023-12-26T10:31+08:00,id29
[30],id,3.2948360500065004e-05,2023-12-26T10:31+08:00,153.22122778097028,2023-12-26T10:31+08:00,id30
[31],id,2.9757070620446712e-05,2023-12-26T10:31+08:00,152.9342822159705,2023-12-26T10:31+08:00,id31
[0],rx,3.32909860249323e-05,2023-12-26T10:31+08:00,146.070025240203,2023-12-26T10:31+08:00,rx0
[1],rx,2.6748095136898707e-05,2023-12-26T10:31+08:00,149.3232326786432,2023-12-26T10:31+08:00,rx1
[2],rx,2.46915621579972e-05,2023-12-26T10:31+08:00,153.44358734472547,2023-12-26T10:31+08:00,rx2
