qubits,gate,gate_error,error_date,gate_length,length_date,name
[0],id,4.648390277320232e-05,2024-01-05T15:53+08:00,161.20240873493083,2024-01-05T15:53+08:00,id0
[1],id,3.430683378682976e-05,2024-01-05T15:53+08:00,157.62243132206558,2024-01-05T15:53+08:00,id1
[2],id,2.6113856750074587e-05,2024-01-05T15:53+08:00,165.7301250678241,2024-01-05T15:53+08:00,id2
[3],id,3.319062110542874e-05,2024-01-05T15:53+08:00,154.56767516565745,2024-01-05T15:53+08:00,id3
[4],id,3.283465973014149e-05,2024-01-05T15:53+08:00,135.4745981605309,2024-01-05T15:53+08:00,id4
[5],id,3.235711285020032e-05,2024-01-05T15:53+08:00,153.9340830546131,2024-01-05T15:53+08:00,id5
[6],id,3.634541209119936e-05,2024-01-05T15:53+08:00,144.0672292595966,2024-01-05T15:53+08:00,id6
[7],id,3.248326771225724e-05,2024-01-05T15:53+08:00,159.80087053083355,2024-01-05T15:53+08:00,id7
[8],id,3.809941562014556e-05,2024-01-05T15:53+08:00,152.97957019875398,2024-01-05T15:53+08:00,id8
[9],id,3.40081108229787e-05,2024-01-05T15:53+08:00,160.3176200838612,2024-01-05T15:53+08:00,id9
[10],id,3.428089704494968e-05,2024-01-05T15:53+08:00,161.91530344049963,2024-01-05T15:53+08:00,id10
[11],id,2.919381090289672e-05,2024-01-05T15:53+08:00,159.13060678192275,2024-01-05T15:53+08:00,id11
[12],id,2.973615469388434e-05,2024-01-05T15:53+08:00,146.49251024775646,2024-01-05T15:53+08:00,id12
[13],id,2.3571460782292417e-05,2024-01-05T15:53+08:00,156.96911800362614,2024-01-05T15:53+08:00,id13
[14],id,2.1637662623356493e-05,2024-01-05T15:53+08:00,168.0088167623354,2024-01-05T15:53+08:00,id14
[15],id,2.9498914368507526e-05,2024-01-05T15:53+08:00,151.50726326866146,2024-01-05T15:53+08:00,id15
[16],id,3.328396622081798e-05,2024-01-05T15:53+08:00,163.8729977564829,2024-01-05T15:53+08:00,id16
[17],id,3.177617498422447e-05,2024-01-05T15:53+08:00,166.55089723552624,2024-01-05T15:53+08:00,id17
[18],id,2.871265823671916e-05,2024-01-05T15:53+08:00,132.41084148674014,2024-01-05T15:53+08:00,id18
[19],id,3.3187634651818064e-05,2024-01-05T15:53+08:00,159.40349062789744,2024-01-05T15:53+08:00,id19
[20],id,3.090828668279222e-05,2024-01-05T15:53+08:00,168.77402815004933,2024-01-05T15:53+08:00,id20
[21],id,2.5512604032268785e-05,2024-01-05T15:53+08:00,160.486577778043,2024-01-05T15:53+08:00,id21
[22],id,3.6136234967103704e-05,2024-01-05T15:53+08:00,154.68641231987777,2024-01-05T15:53+08:00,id22
[23],id,3.179413926238195e-05,2024-01-05T15:53+08:00,156.1720582793252,2024-01-05T15:53+08:00,id23
[24],id,3.026152965880973e-05,2024-01-05T15:53+08:00,153.4613192871208,2024-01-05T15:53+08:00,id24
[25],id,3.6596962331560976e-05,2024-01-05T15:53+08:00,143.38659850477498,2024-01-05T15:53+08:00,id25
[26],id,2.3454676587404174e-05,2024-01-05T15:53+08:00,153.6860581518063,2024-01-05T15:53+08:00,id26
[27],id,2.6402355723188203e-05,2024-01-05T15:53+08:00,165.79773834583872,2024-01-05T15:53+08:00,id27
[28],id,3.238056046978139e-05,2024-01-05T15:53+08:00,153.11292931601545,2024-01-05T15:53+08:00,id28
[29],id,3.401041544043736e-05,2024-01-05T15:53+08:00,158.1303447465573,2024-01-05T15:53+08:00,id29
[30],id,3.2493518990472026e-05,2024-01-05T15:53+08:00,151.80622824009535,2024-01-05T15:53+08:00,id30
[31],id,3.6998335827964064e-05,2024-01-05T15:53+08:00,158.17742458236214,2024-01-05T15:53+08:00,id31
[32],id,3.3717387580709086e-05,2024-01-05T15:53+08:00,139.08806977533845,2024-01-05T15:53+08:00,id32
[33],id,2.849099544912691e-05,2024-01-05T15:53+08:00,166.5378485366571,2024-01-05T15:53+08:00,id33
[34],id,3.9163395413485474e-05,2024-01-05T15:53+08:00,142.6555477888216,2024-01-05T15:53+08:00,id34
[0],r,2.6960874041356604e-05,2024-01-05T15:53+08:00,142.89546932686892,2024-01-05T15:53+08:00,r0
[1],r,3.3066754214627924e-05,2024-01-05T15:53+08:00,132.66563596865822,2024-01-05T15:53+08:00,r1
[2],r,2.5612387091627542e-05,2024-01-05T15:53+08:00,142.9281167428027,2024-01-05T15:53+08:00,r2
[3],r,2.5534063470641903e-05,2024-01-05T15:53+08:00,138.97923354013872,2024-01-05T15:53+08:00,r3
[4],r,2.7637877214603928e-05,2024-01-05T15:53+08:00,159.78169936294546,2024-01-05T15:53+08:00,r4
[5],r,2.4592322666036032e-05,2024-01-05T15:53+08:00,147.9584287562184,2024-01-05T15:53+08:00,r5
[6],r,3.050694598665569e-05,2024-01-05T15:53+08:00,158.73814482845427,2024-01-05T15:53+08:00,r6
[7],r,2.5131197158775407e-05,2024-01-05T15:53+08:00,151.46227583090678,2024-01-05T15:53+08:00,r7
[8],r,2.771203791181191e-05,2024-01-05T15:53+08:00,170.60260203784395,2024-01-05T15:53+08:00,r8
[9],r,3.2774558081751014e-05,2024-01-05T15:53+08:00,136.58572854455952,2024-01-05T15:53+08:00,r9
