T1,T1_date,T2,T2_date,frequency,frequency_date,readout_error,readout_error_date,prob_meas0_prep1,prob_meas0_prep1_date,prob_meas1_prep0,prob_meas1_prep0_date,readout_length,readout_length_date
49526.764346261894,2023-12-26T10:31+08:00,1024.807060131482,2023-12-26T10:31+08:00,1.0003109642509258,2023-12-26T10:31+08:00,8.942798512156725e-06,2023-12-26T10:31+08:00,8.778177010418394e-06,2023-12-26T10:31+08:00,9.180965339498855e-06,2023-12-26T10:31+08:00,0.098038328440735,2023-12-26T10:31+08:00
49488.54733063361,2023-12-26T10:31+08:00,1013.4126439269627,2023-12-26T10:31+08:00,0.9794320582477453,2023-12-26T10:31+08:00,1.1870275050510865e-05,2023-12-26T10:31+08:00,1.0832878074741697e-05,2023-12-26T10:31+08:00,7.308672909152582e-06,2023-12-26T10:31+08:00,0.09985241619791067,2023-12-26T10:31+08:00
48166.403134330634,2023-12-26T10:31+08:00,1088.2143764437337,2023-12-26T10:31+08:00,1.0822701800213474,2023-12-26T10:31+08:00,1.0172802853728772e-05,2023-12-26T10:31+08:00,9.606559702282377e-06,2023-12-26T10:31+08:00,1.0322087071021754e-05,2023-12-26T10:31+08:00,0.10720176363529038,2023-12-26T10:31+08:00
49926.368505980965,2023-12-26T10:31+08:00,999.9807472925708,2023-12-26T10:31+08:00,0.9943369688508954,2023-12-26T10:31+08:00,8.660577900579165e-06,2023-12-26T10:31+08:00,9.423886766514927e-06,2023-12-26T10:31+08:00,9.710530121705692e-06,2023-12-26T10:31+08:00,0.1156421028417356,2023-12-26T10:31+08:00
50601.94994885993,2023-12-26T10:31+08:00,1079.56270128532,2023-12-26T10:31+08:00,1.069647023549143,2023-12-26T10:31+08:00,1.0073058452267035e-05,2023-12-26T10:31+08:00,1.119116972038479e-05,2023-12-26T10:31+08:00,1.0531659469849595e-05,2023-12-26T10:31+08:00,0.08415914093369231,2023-12-26T10:31+08:00
49776.59362722848,2023-12-26T10:31+08:00,972.6989487246923,2023-12-26T10:31+08:00,1.0587665892047484,2023-12-26T10:31+08:00,9.469356411415438e-06,2023-12-26T10:31+08:00,1.1042807452011658e-05,2023-12-26T10:31+08:00,1.1572383996029852e-05,2023-12-26T10:31+08:00,0.09158726498093014,2023-12-26T10:31+08:00
49536.26237419296,2023-12-26T10:31+08:00,960.0251787934769,2023-12-26T10:31+08:00,1.089239660154048,2023-12-26T10:31+08:00,8.752239198565444e-06,2023-12-26T10:31+08:00,1.2250763587929685e-05,2023-12-26T10:31+08:00,8.926616771642604e-06,2023-12-26T10:31+08:00,0.09923661815345038,2023-12-26T10:31+08:00
50138.22619834941,2023-12-26T10:31+08:00,977.5108507924954,2023-12-26T10:31+08:00,1.0567012905223279,2023-12-26T10:31+08:00,1.060338083941711e-05,2023-12-26T10:31+08:00,9.106296220904102e-06,2023-12-26T10:31+08:00,9.180183693492868e-06,2023-12-26T10:31+08:00,0.08920011112880434,2023-12-26T10:31+08:00
51327.270057348134,2023-12-26T10:31+08:00,895.6988148030327,2023-12-26T10:31+08:00,1.0737508077426399,2023-12-26T10:31+08:00,1.0199898181040207e-05,2023-12-26T10:31+08:00,1.1582879874348896e-05,2023-12-26T10:31+08:00,1.0115655030875387e-05,2023-12-26T10:31+08:00,0.11396895481275002,2023-12-26T10:31+08:00
51512.363393586136,2023-12-26T10:31+08:00,909.889716238217,2023-12-26T10:31+08:00,1.0585062060570816,2023-12-26T10:31+08:00,1.152510300525873e-05,2023-12-26T10:31+08:00,1.0768197754439198e-05,2023-12-26T10:31+08:00,9.122719319574405e-06,2023-12-26T10:31+08:00,0.0974685030018258,2023-12-26T10:31+08:00
49938.970722586666,2023-12-26T10:31+08:00,968.5504858571508,2023-12-26T10:31+08:00,1.0755898011073142,2023-12-26T10:31+08:00,1.0322278979260798e-05,2023-12-26T10:31+08:00,9.743206115462917e-06,2023-12-26T10:31+08:00,9.863260848187289e-06,2023-12-26T10:31+08:00,0.10913600621021109,2023-12-26T10:31+08:00
49014.78205928497,2023-12-26T10:31+08:00,1023.6511622243365,2023-12-26T10:31+08:00,1.0386382173884918,2023-12-26T10:31+08:00,1.0961082083779116e-05,2023-12-26T10:31+08:00,1.0702678502811348e-05,2023-12-26T10:31+08:00,8.852300991731755e-06,2023-12-26T10:31+08:00,0.09878312811367354,2023-12-26T10:31+08:00
49390.56952297376,2023-12-26T10:31+08:00,1031.76518891918,2023-12-26T10:31+08:00,0.9706022386087213,2023-12-26T10:31+08:00,1.0232237346687602e-05,2023-12-26T10:31+08:00,9.262792102296163e-06,2023-12-26T10:31+08:00,9.72705289865986e-06,2023-12-26T10:31+08:00,0.10438722048208016,2023-12-26T10:31+08:00
49009.390222312584,2023-12-26T10:31+08:00,1036.1892298168736,2023-12-26T10:31+08:00,0.9787766030858134,2023-12-26T10:31+08:00,1.1205965257404556e-05,2023-12-26T10:31+08:00,1.078807376557034e-05,2023-12-26T10:31+08:00,9.882628380234907e-06,2023-12-26T10:31+08:00,0.10054821833999819,2023-12-26T10:31+08:00
50986.21508513714,2023-12-26T10:31+08:00,1045.7628526481317,2023-12-26T10:31+08:00,1.0775562627347715,2023-12-26T10:31+08:00,1.1083138249613077e-05,2023-12-26T10:31+08:00,1.1822154134137087e-05,2023-12-26T10:31+08:00,9.054574758715661e-06,2023-12-26T10:31+08:00,0.10115489774171443,2023-12-26T10:31+08:00
51308.957218715164,2023-12-26T10:31+08:00,1034.3357231136458,2023-12-26T10:31+08:00,0.9905942380345911,2023-12-26T10:31+08:00,1.1263748596592162e-05,2023-12-26T10:31+08:00,1.1060461213324343e-05,2023-12-26T10:31+08:00,7.567797120124704e-06,2023-12-26T10:31+08:00,0.07305511253029681,2023-12-26T10:31+08:00
48263.89155943553,2023-12-26T10:31+08:00,1000.9999404886424,2023-12-26T10:31+08:00,0.9485126510013411,2023-12-26T10:31+08:00,1.0548286181911886e-05,2023-12-26T10:31+08:00,1.0513128296413614e-05,2023-12-26T10:31+08:00,9.913906494395233e-06,2023-12-26T10:31+08:00,0.09029499171141876,2023-12-26T10:31+08:00
51608.788944216336,2023-12-26T10:31+08:00,983.4638641693134,2023-12-26T10:31+08:00,0.9307206158127178,2023-12-26T10:31+08:00,9.832180671694407e-06,2023-12-26T10:31+08:00,1.0862600211790073e-05,2023-12-26T10:31+08:00,1.0079330595824951e-05,2023-12-26T10:31+08:00,0.09436511971331418,2023-12-26T10:31+08:00
49975.641037961694,2023-12-26T10:31+08:00,1024.549815345397,2023-12-26T10:31+08:00,0.9563443705399227,2023-12-26T10:31+08:00,1.0992409316539138e-05,2023-12-26T10:31+08:00,1.0853942908810233e-05,2023-12-26T10:31+08:00,1.1935997718980337e-05,2023-12-26T10:31+08:00,0.08694671650373403,2023-12-26T10:31+08:00
53371.39788258736,2023-12-26T10:31+08:00,1069.2519534526784,2023-12-26T10:31+08:00,1.0554355060408447,2023-12-26T10:31+08:00,1.1576227723483185e-05,2023-12-26T10:31+08:00,1.186462421602063e-05,2023-12-26T10:31+08:00,1.0093882675958473e-05,2023-12-26T10:31+08:00,0.09702220186487615,2023-12-26T10:31+08:00
51552.06357879659,2023-12-26T10:31+08:00,987.2311924272537,2023-12-26T10:31+08:00,0.9074987927409787,2023-12-26T10:31+08:00,9.59805215091719e-06,2023-12-26T10:31+08:00,1.049051396768934e-05,2023-12-26T10:31+08:00,1.021330571897306e-05,2023-12-26T10:31+08:00,0.11203066302761971,2023-12-26T10:31+08:00
50404.91419039207,2023-12-26T10:31+08:00,1095.8431906671517,2023-12-26T10:31+08:00,1.0416157695735984,2023-12-26T10:31+08:00,1.2651823373657425e-05,2023-12-26T10:31+08:00,1.1669498217953175e-05,2023-12-26T10:31+08:00,9.777979667244205e-06,2023-12-26T10:31+08:00,0.09812540853196691,2023-12-26T10:31+08:00
51695.260039057,2023-12-26T10:31+08:00,948.0449659753415,2023-12-26T10:31+08:00,0.8684186721101539,2023-12-26T10:31+08:00,9.672813465720966e-06,2023-12-26T10:31+08:00,8.954703918456433e-06,2023-12-26T10:31+08:00,9.424670761703844e-06,2023-12-26T10:31+08:00,0.1000362207928515,2023-12-26T10:31+08:00
